险种代码	code	543
险种名称	riskName	国寿鑫两全保险（D款）
险种简称	riskShortName	国寿鑫两全保险（D款）
险种年份	riskYear	2016
险种类别1	riskType1	L
险种类别2	riskType2	N
险种分类	codeName	600
险种标识	riskFlag	0
主附险标识	subRiskFlag	M
险种类别3	riskType3	1
开售时间	startDate	2016-01-13
结束时间	endDate	9999-12-31
投保人最小年龄	minAppntAge	16
投保人最大年龄	maxAppntAge	999
被保人最小年龄	minInsuredAge	18
被保人最小年龄单位	minAppntAgeFlag	A
被保人最大年龄	maxInsuredAge	70
被保人最大年龄单位	maxAppntAgeFlag	A
销售渠道	saleFlag	[I],[B],[SP],[BS]
产品渠道	mngCon	B
责任名称	duytName	国寿鑫两全保险（D款）
保险期间	insuYear	6
保险期间单位	insuYearFlag	Y
保额保费互算	calmode	P
缴费期间读取方式	payEndYearRela	0
领取年龄读取方式	getYearRela	0
保险年龄读取方式	insuYearRela	4
